                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.6169,                 2.5142,                 1.4261,                 1.3019,                0.41432,                0.39614,                0.33731,                0.13124,                0.44138,                0.30435,                0.26236,                0.08574,                 2.1397,                 3.2669,                 1.8957,                 1.5086,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.6836,                 2.6014,                 1.4155,                 1.3272,                0.34384,                0.37198,                 0.3215,                0.11569,                0.35221,                0.34783,                0.26526,                0.08138,                 2.2426,                 3.0293,                 2.0432,                 1.5197,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.6184,                 2.6351,                 1.4182,                 1.3169,                0.37838,                0.43961,                0.37544,                 0.1548,                0.40858,                0.42512,                0.35398,                0.13598,                 1.9674,                  2.961,                 1.8642,                 1.4835,                0.00101,                0.00101,                0.00101
                     27,                 1.5956,                 2.6307,                 1.3407,                 1.2935,                0.39439,                0.49758,                 0.3619,                0.15971,                0.45215,                0.41546,                 0.3369,                0.13302,                 1.8489,                 2.8305,                 1.7811,                 1.4507,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.4873,                 2.4804,                 1.3247,                 1.2625,                0.50014,                0.41086,                0.44202,                0.19951,                0.54339,                0.36232,                 0.4078,                0.16998,                 1.8991,                 3.0705,                 1.7056,                 1.4691,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.5274,                 2.5536,                 1.3303,                 1.2791,                0.44774,                0.42995,                 0.3753,                0.16271,                0.45537,                0.42995,                0.37408,                0.13817,                 1.9289,                 2.8664,                 1.7526,                 1.4876,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.5255,                 2.5051,                 1.2991,                  1.272,                 0.3847,                0.49758,                0.35544,                0.15082,                0.32587,                 0.4058,                0.30658,                  0.101,                 2.0542,                 3.3308,                 1.7687,                 1.4694,              0.0008516,              0.0008516,              0.0008516
                     31,                  1.513,                 2.5021,                 1.3031,                 1.2815,                0.47814,                0.50725,                0.40774,                0.19047,                0.46797,                0.47826,                0.39439,                0.15806,                 1.7925,                 2.7006,                 1.6241,                 1.3766,               0.000812,               0.000812,               0.000812
                     32,                 1.4892,                 2.4728,                 1.2716,                 1.2549,                0.47771,                0.40097,                0.43062,                 0.1915,                0.56921,                0.35266,                0.39566,                 0.1596,                 1.9063,                  2.883,                 1.7078,                 1.4178,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.5114,                  2.531,                 1.2978,                  1.246,                 0.4607,                0.46377,                0.46549,                0.20377,                 0.5218,                 0.3913,                0.42942,                0.17735,                 1.9149,                 2.7892,                  1.707,                 1.4143,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.4498,                 2.4036,                 1.2505,                 1.2385,                0.42026,                0.48309,                0.43305,                0.20154,                0.52461,                0.40097,                0.39832,                0.16167,                   1.88,                 2.8378,                  1.714,                 1.4596,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.4351,                 2.3827,                 1.2453,                 1.2203,                0.43121,                0.44928,                0.41647,                0.18692,                0.40884,                0.42512,                0.38187,                0.14948,                 1.9307,                 2.8918,                 1.6799,                 1.4156,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.5002,                 2.4881,                 1.2753,                  1.252,                0.44602,                0.56786,                0.48424,                0.22962,                0.40418,                0.51208,                0.43329,                0.18869,                 1.8176,                 2.7032,                 1.6018,                 1.3963,               0.000614,               0.000614,               0.000614
                     37,                 1.4348,                 2.4454,                 1.2513,                 1.2165,                0.54005,                0.43961,                0.43783,                0.18256,                0.51245,                 0.4058,                0.37691,                0.14352,                 1.8978,                 2.8689,                 1.6551,                  1.422,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.4106,                 2.4071,                  1.211,                 1.2118,                0.46884,                0.55008,                0.47156,                0.23255,                0.46771,                0.45844,                0.42689,                0.17928,                 1.8003,                 2.7372,                 1.5771,                 1.3797,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.4621,                 2.4658,                  1.199,                 1.2039,                0.51534,                0.47343,                0.42376,                0.21893,                0.52144,                0.44928,                0.42455,                0.19508,                 1.7733,                 2.6941,                 1.6241,                 1.3937,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.3822,                 2.3012,                 1.1741,                 1.1738,                0.45623,                0.44181,                0.43474,                 0.2111,                0.50785,                 0.3913,                0.40931,                0.17092,                  1.932,                 2.9658,                 1.7319,                  1.437,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.4078,                 2.3838,                 1.2263,                  1.239,                0.42295,                0.42029,                0.42043,                0.20753,                0.52203,                0.37681,                0.41329,                0.18657,                 1.8606,                 2.8504,                 1.8016,                  1.423,               0.000416,               0.000416,               0.000416
                     42,                 1.4716,                 2.3598,                 1.2759,                 1.2606,                 0.5207,                0.43478,                0.46767,                0.22015,                0.54537,                0.43478,                0.44463,                 0.1867,                   1.86,                 2.8638,                 1.6915,                 1.4112,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.3799,                  2.345,                 1.2054,                 1.2226,                0.52118,                0.43478,                0.46729,                0.23765,                0.57516,                0.43961,                0.49157,                0.21065,                  1.736,                 2.8275,                 1.6073,                 1.3982,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.3805,                 2.3638,                 1.1759,                 1.2054,                0.49344,                 0.5314,                 0.5057,                0.23209,                0.56935,                0.42995,                 0.4594,                0.18373,                 1.8646,                 2.9962,                 1.6491,                 1.4173,              0.0002972,              0.0002972,              0.0002972
                     45,                  1.399,                 2.2894,                 1.1421,                 1.2085,                0.54358,                0.51691,                0.52095,                0.25927,                0.52265,                 0.4686,                0.47434,                0.21917,                 1.7947,                 2.7563,                  1.572,                 1.3849,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.3606,                 2.2821,                 1.1311,                 1.2073,                0.47992,                0.54106,                0.49517,                0.23558,                0.57368,                0.39614,                0.47341,                0.21262,                 1.8069,                 2.7769,                 1.5948,                 1.3784,               0.000218,               0.000218,               0.000218
                     47,                 1.3547,                 2.3171,                 1.1492,                 1.2065,                 0.4477,                0.52174,                 0.4853,                0.23369,                0.61318,                0.40097,                0.46777,                0.20083,                 1.7951,                  2.775,                 1.5847,                 1.3721,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.3482,                 2.2298,                 1.1192,                 1.2053,                 0.4678,                0.53623,                0.50058,                0.25832,                 0.4983,                0.42225,                0.46271,                0.21936,                 1.7315,                 2.7754,                 1.5589,                 1.3632,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.3451,                 2.2205,                  1.098,                  1.187,                0.48769,                0.54589,                0.51339,                0.24986,                0.47932,                 0.4686,                0.47253,                0.21822,                 1.7536,                 2.8013,                 1.5675,                 1.3545,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.3444,                 2.2323,                 1.1146,                 1.1856,                0.47027,                0.56039,                0.50581,                0.24588,                0.48304,                0.48309,                0.46243,                0.21131,                 1.7237,                 2.7529,                 1.5263,                 1.3411,               5.96e-05,               5.96e-05,               5.96e-05
